"REF_DATE","GEO","DGUID","Interprovincial migrants","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1972/1973","New Brunswick","2016A000213","Out-migrants","Persons","249","units","0","v466520","4.14","18587","","","","0"
"1972/1973","New Brunswick","2016A000213","Net-migration","Persons","249","units","0","v466534","4.15","2102","","","","0"
"1972/1973","Quebec","2016A000224","In-migrants","Persons","249","units","0","v466506","5.13","36142","","","","0"
"1972/1973","Quebec","2016A000224","Out-migrants","Persons","249","units","0","v466521","5.14","55896","","","","0"
"1972/1973","Quebec","2016A000224","Net-migration","Persons","249","units","0","v466535","5.15","-19754","","","","0"
"1972/1973","Ontario","2016A000235","In-migrants","Persons","249","units","0","v466507","6.13","97666","","","","0"
"1972/1973","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v466522","6.14","96726","","","","0"
"1972/1973","Ontario","2016A000235","Net-migration","Persons","249","units","0","v466536","6.15","940","","","","0"
"1972/1973","Manitoba","2016A000246","In-migrants","Persons","249","units","0","v466508","7.13","29441","","","","0"
"1972/1973","Manitoba","2016A000246","Out-migrants","Persons","249","units","0","v466523","7.14","34930","","","","0"
"1972/1973","Manitoba","2016A000246","Net-migration","Persons","249","units","0","v466537","7.15","-5489","","","","0"
"1972/1973","Saskatchewan","2016A000247","In-migrants","Persons","249","units","0","v466509","8.13","21167","","","","0"
"1972/1973","Saskatchewan","2016A000247","Out-migrants","Persons","249","units","0","v466524","8.14","37691","","","","0"
"1972/1973","Saskatchewan","2016A000247","Net-migration","Persons","249","units","0","v466538","8.15","-16524","","","","0"
"1972/1973","Alberta","2016A000248","In-migrants","Persons","249","units","0","v466510","9.13","63529","","","","0"
"1972/1973","Alberta","2016A000248","Out-migrants","Persons","249","units","0","v466525","9.14","58031","","","","0"
"1972/1973","Alberta","2016A000248","Net-migration","Persons","249","units","0","v466539","9.15","5498","","","","0"
"1972/1973","British Columbia","2016A000259","In-migrants","Persons","249","units","0","v466497","10.13","78874","","","","0"
"1972/1973","British Columbia","2016A000259","Out-migrants","Persons","249","units","0","v466512","10.14","51681","","","","0"
"1972/1973","British Columbia","2016A000259","Net-migration","Persons","249","units","0","v466527","10.15","27193","","","","0"
"1972/1973","Yukon","2016A000260","In-migrants","Persons","249","units","0","v466498","11.13","2829","","","","0"
"1972/1973","Yukon","2016A000260","Out-migrants","Persons","249","units","0","v466513","11.14","2371","","","","0"
"1972/1973","Yukon","2016A000260","Net-migration","Persons","249","units","0","v466528","11.15","458","","","","0"
"1972/1973","Northwest Territories including Nunavut","","In-migrants","Persons","249","units","0","v466499","12.13","4427","","","t","0"
"1972/1973","Northwest Territories including Nunavut","","Out-migrants","Persons","249","units","0","v466514","12.14","3707","","","t","0"
"1972/1973","Northwest Territories including Nunavut","","Net-migration","Persons","249","units","0","v466529","12.15","720","","","t","0"
"1973/1974","Canada","2016A000011124","In-migrants","Persons","249","units","0","v466500","13.13","437549","","","","0"
"1973/1974","Canada","2016A000011124","Out-migrants","Persons","249","units","0","v466515","13.14","437549","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","In-migrants","Persons","249","units","0","v466496","1.13","13133","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Out-migrants","Persons","249","units","0","v466511","1.14","15852","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Net-migration","Persons","249","units","0","v466526","1.15","-2719","","","","0"
"1973/1974","Prince Edward Island","2016A000211","In-migrants","Persons","249","units","0","v466503","2.13","4947","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Out-migrants","Persons","249","units","0","v466518","2.14","4126","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Net-migration","Persons","249","units","0","v466532","2.15","821","","","","0"
