"REF_DATE","GEO","DGUID","Components of population growth","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078831395","161.7.1.1","-1759","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078831728","161.8.1.1","3539","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078831728","161.8.1.1","4428","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078831728","161.8.1.1","-4159","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078831728","161.8.1.1","-6762","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078831728","161.8.1.1","-18125","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1078832061","161.9.1.1","31695","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1078832061","161.9.1.1","101102","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1078832061","161.9.1.1","156166","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1078832061","161.9.1.1","165541","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1078832061","161.9.1.1","79860","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Residual deviation","Both sexes","All ages","Persons","249","units","0","v1078832394","161.10.1.1","-27119","","","","0"
"2015/2016","All census metropolitan areas, Canada","","Births","Both sexes","All ages","Persons","249","units","0","v1078832727","162.1.1.1","274126","","","","0"
"2016/2017","All census metropolitan areas, Canada","","Births","Both sexes","All ages","Persons","249","units","0","v1078832727","162.1.1.1","271546","","","","0"
"2017/2018","All census metropolitan areas, Canada","","Births","Both sexes","All ages","Persons","249","units","0","v1078832727","162.1.1.1","269761","","","","0"
"2018/2019","All census metropolitan areas, Canada","","Births","Both sexes","All ages","Persons","249","units","0","v1078832727","162.1.1.1","267123","","","","0"
"2019/2020","All census metropolitan areas, Canada","","Births","Both sexes","All ages","Persons","249","units","0","v1078832727","162.1.1.1","269034","","","","0"
"2015/2016","All census metropolitan areas, Canada","","Deaths","Both sexes","All ages","Persons","249","units","0","v1078832733","162.2.1.1","166227","","","","0"
"2016/2017","All census metropolitan areas, Canada","","Deaths","Both sexes","All ages","Persons","249","units","0","v1078832733","162.2.1.1","174417","","","","0"
"2017/2018","All census metropolitan areas, Canada","","Deaths","Both sexes","All ages","Persons","249","units","0","v1078832733","162.2.1.1","181205","","","","0"
"2018/2019","All census metropolitan areas, Canada","","Deaths","Both sexes","All ages","Persons","249","units","0","v1078832733","162.2.1.1","183421","","","","0"
"2019/2020","All census metropolitan areas, Canada","","Deaths","Both sexes","All ages","Persons","249","units","0","v1078832733","162.2.1.1","194297","","","","0"
"2015/2016","All census metropolitan areas, Canada","","Immigrants","Both sexes","All ages","Persons","249","units","0","v1078833066","162.3.1.1","289373","","","","0"
"2016/2017","All census metropolitan areas, Canada","","Immigrants","Both sexes","All ages","Persons","249","units","0","v1078833066","162.3.1.1","244257","","","","0"
"2017/2018","All census metropolitan areas, Canada","","Immigrants","Both sexes","All ages","Persons","249","units","0","v1078833066","162.3.1.1","276035","","","","0"
"2018/2019","All census metropolitan areas, Canada","","Immigrants","Both sexes","All ages","Persons","249","units","0","v1078833066","162.3.1.1","285559","","","","0"
"2019/2020","All census metropolitan areas, Canada","","Immigrants","Both sexes","All ages","Persons","249","units","0","v1078833066","162.3.1.1","257817","","","","0"
"2015/2016","All census metropolitan areas, Canada","","Emigrants","Both sexes","All ages","Persons","249","units","0","v1078833399","162.4.1.1","58950","","","","0"
"2016/2017","All census metropolitan areas, Canada","","Emigrants","Both sexes","All ages","Persons","249","units","0","v1078833399","162.4.1.1","51128","","","","0"
"2017/2018","All census metropolitan areas, Canada","","Emigrants","Both sexes","All ages","Persons","249","units","0","v1078833399","162.4.1.1","43750","","","","0"
"2018/2019","All census metropolitan areas, Canada","","Emigrants","Both sexes","All ages","Persons","249","units","0","v1078833399","162.4.1.1","44356","","","","0"
"2019/2020","All census metropolitan areas, Canada","","Emigrants","Both sexes","All ages","Persons","249","units","0","v1078833399","162.4.1.1","33877","","","","0"
"2015/2016","All census metropolitan areas, Canada","","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1078833732","162.5.1.1","34947","","","","0"
"2016/2017","All census metropolitan areas, Canada","","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1078833732","162.5.1.1","34576","","","","0"
"2017/2018","All census metropolitan areas, Canada","","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1078833732","162.5.1.1","34342","","","","0"
"2018/2019","All census metropolitan areas, Canada","","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1078833732","162.5.1.1","35117","","","","0"
"2019/2020","All census metropolitan areas, Canada","","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1078833732","162.5.1.1","29889","","","","0"
"2015/2016","All census metropolitan areas, Canada","","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1078834065","162.6.1.1","23314","","","","0"
"2016/2017","All census metropolitan areas, Canada","","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1078834065","162.6.1.1","23690","","","","0"
"2017/2018","All census metropolitan areas, Canada","","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1078834065","162.6.1.1","23936","","","","0"
"2018/2019","All census metropolitan areas, Canada","","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1078834065","162.6.1.1","24271","","","","0"
"2019/2020","All census metropolitan areas, Canada","","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1078834065","162.6.1.1","16580","","","","0"
"2015/2016","All census metropolitan areas, Canada","","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078834398","162.7.1.1","2444","","","","0"
"2016/2017","All census metropolitan areas, Canada","","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078834398","162.7.1.1","223","","","","0"
"2017/2018","All census metropolitan areas, Canada","","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078834398","162.7.1.1","-766","","","","0"
"2018/2019","All census metropolitan areas, Canada","","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078834398","162.7.1.1","-709","","","","0"
"2019/2020","All census metropolitan areas, Canada","","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078834398","162.7.1.1","-1238","","","","0"
"2015/2016","All census metropolitan areas, Canada","","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078834731","162.8.1.1","-1718","","","","0"
"2016/2017","All census metropolitan areas, Canada","","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078834731","162.8.1.1","-12358","","","","0"
"2017/2018","All census metropolitan areas, Canada","","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078834731","162.8.1.1","-26276","","","","0"
"2018/2019","All census metropolitan areas, Canada","","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078834731","162.8.1.1","-25705","","","","0"
"2019/2020","All census metropolitan areas, Canada","","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1078834731","162.8.1.1","-39765","","","","0"
"2015/2016","All census metropolitan areas, Canada","","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1078835064","162.9.1.1","25684","","","","0"
"2016/2017","All census metropolitan areas, Canada","","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1078835064","162.9.1.1","95358","","","","0"
"2017/2018","All census metropolitan areas, Canada","","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1078835064","162.9.1.1","146223","","","","0"
"2018/2019","All census metropolitan areas, Canada","","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1078835064","162.9.1.1","154589","","","","0"
"2019/2020","All census metropolitan areas, Canada","","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1078835064","162.9.1.1","76118","","","","0"
