"REF_DATE","GEO","DGUID","Components of population growth","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","Winnipeg (CMA), Manitoba","2016S0503602","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061115931","98.3.1.1","11260","","","","0"
"2018/2019","Winnipeg (CMA), Manitoba","2016S0503602","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061115931","98.3.1.1","12838","","","","0"
"2019/2020","Winnipeg (CMA), Manitoba","2016S0503602","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061115931","98.3.1.1","11338","","","","0"
"2015/2016","Winnipeg (CMA), Manitoba","2016S0503602","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061116264","98.4.1.1","1186","","","","0"
"2016/2017","Winnipeg (CMA), Manitoba","2016S0503602","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061116264","98.4.1.1","1204","","","","0"
"2017/2018","Winnipeg (CMA), Manitoba","2016S0503602","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061116264","98.4.1.1","998","","","","0"
"2018/2019","Winnipeg (CMA), Manitoba","2016S0503602","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061116264","98.4.1.1","1012","","","","0"
"2019/2020","Winnipeg (CMA), Manitoba","2016S0503602","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061116264","98.4.1.1","777","","","","0"
"2015/2016","Winnipeg (CMA), Manitoba","2016S0503602","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061116597","98.5.1.1","747","","","","0"
"2016/2017","Winnipeg (CMA), Manitoba","2016S0503602","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061116597","98.5.1.1","819","","","","0"
"2017/2018","Winnipeg (CMA), Manitoba","2016S0503602","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061116597","98.5.1.1","735","","","","0"
"2018/2019","Winnipeg (CMA), Manitoba","2016S0503602","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061116597","98.5.1.1","710","","","","0"
"2019/2020","Winnipeg (CMA), Manitoba","2016S0503602","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061116597","98.5.1.1","603","","","","0"
"2015/2016","Winnipeg (CMA), Manitoba","2016S0503602","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061116930","98.6.1.1","239","","","","0"
"2016/2017","Winnipeg (CMA), Manitoba","2016S0503602","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061116930","98.6.1.1","264","","","","0"
"2017/2018","Winnipeg (CMA), Manitoba","2016S0503602","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061116930","98.6.1.1","243","","","","0"
"2018/2019","Winnipeg (CMA), Manitoba","2016S0503602","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061116930","98.6.1.1","248","","","","0"
"2019/2020","Winnipeg (CMA), Manitoba","2016S0503602","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061116930","98.6.1.1","171","","","","0"
"2015/2016","Winnipeg (CMA), Manitoba","2016S0503602","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061117263","98.7.1.1","-3778","","","","0"
"2016/2017","Winnipeg (CMA), Manitoba","2016S0503602","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061117263","98.7.1.1","-4009","","","","0"
"2017/2018","Winnipeg (CMA), Manitoba","2016S0503602","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061117263","98.7.1.1","-5125","","","","0"
"2018/2019","Winnipeg (CMA), Manitoba","2016S0503602","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061117263","98.7.1.1","-5594","","","","0"
"2019/2020","Winnipeg (CMA), Manitoba","2016S0503602","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061117263","98.7.1.1","-6660","","","","0"
"2015/2016","Winnipeg (CMA), Manitoba","2016S0503602","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061117596","98.8.1.1","268","","","","0"
"2016/2017","Winnipeg (CMA), Manitoba","2016S0503602","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061117596","98.8.1.1","1202","","","","0"
"2017/2018","Winnipeg (CMA), Manitoba","2016S0503602","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061117596","98.8.1.1","773","","","","0"
"2018/2019","Winnipeg (CMA), Manitoba","2016S0503602","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061117596","98.8.1.1","501","","","","0"
"2019/2020","Winnipeg (CMA), Manitoba","2016S0503602","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061117596","98.8.1.1","300","","","","0"
"2015/2016","Winnipeg (CMA), Manitoba","2016S0503602","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061117929","98.9.1.1","4307","","","","0"
"2016/2017","Winnipeg (CMA), Manitoba","2016S0503602","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061117929","98.9.1.1","4555","","","","0"
"2017/2018","Winnipeg (CMA), Manitoba","2016S0503602","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061117929","98.9.1.1","4980","","","","0"
"2018/2019","Winnipeg (CMA), Manitoba","2016S0503602","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061117929","98.9.1.1","2809","","","","0"
"2019/2020","Winnipeg (CMA), Manitoba","2016S0503602","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061117929","98.9.1.1","-1011","","","","0"
"2015/2016","Winnipeg (CMA), Manitoba","2016S0503602","Residual deviation","Both sexes","All ages","Persons","249","units","0","v1061118262","98.10.1.1","-1563","","","","0"
"2015/2016","Regina (CMA), Saskatchewan","2016S0503705","Births","Both sexes","All ages","Persons","249","units","0","v1061133610","104.1.1.1","3338","","","","0"
"2016/2017","Regina (CMA), Saskatchewan","2016S0503705","Births","Both sexes","All ages","Persons","249","units","0","v1061133610","104.1.1.1","3230","","","","0"
"2017/2018","Regina (CMA), Saskatchewan","2016S0503705","Births","Both sexes","All ages","Persons","249","units","0","v1061133610","104.1.1.1","3205","","","","0"
"2018/2019","Regina (CMA), Saskatchewan","2016S0503705","Births","Both sexes","All ages","Persons","249","units","0","v1061133610","104.1.1.1","3086","","","","0"
"2019/2020","Regina (CMA), Saskatchewan","2016S0503705","Births","Both sexes","All ages","Persons","249","units","0","v1061133610","104.1.1.1","3026","","","","0"
"2015/2016","Regina (CMA), Saskatchewan","2016S0503705","Deaths","Both sexes","All ages","Persons","249","units","0","v1061133616","104.2.1.1","1769","","","","0"
"2016/2017","Regina (CMA), Saskatchewan","2016S0503705","Deaths","Both sexes","All ages","Persons","249","units","0","v1061133616","104.2.1.1","1728","","","","0"
"2017/2018","Regina (CMA), Saskatchewan","2016S0503705","Deaths","Both sexes","All ages","Persons","249","units","0","v1061133616","104.2.1.1","1786","","","","0"
"2018/2019","Regina (CMA), Saskatchewan","2016S0503705","Deaths","Both sexes","All ages","Persons","249","units","0","v1061133616","104.2.1.1","1867","","","","0"
"2019/2020","Regina (CMA), Saskatchewan","2016S0503705","Deaths","Both sexes","All ages","Persons","249","units","0","v1061133616","104.2.1.1","1869","","","","0"
"2015/2016","Regina (CMA), Saskatchewan","2016S0503705","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061133949","104.3.1.1","4648","","","","0"
"2016/2017","Regina (CMA), Saskatchewan","2016S0503705","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061133949","104.3.1.1","4804","","","","0"
"2017/2018","Regina (CMA), Saskatchewan","2016S0503705","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061133949","104.3.1.1","5432","","","","0"
"2018/2019","Regina (CMA), Saskatchewan","2016S0503705","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061133949","104.3.1.1","4882","","","","0"
"2019/2020","Regina (CMA), Saskatchewan","2016S0503705","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061133949","104.3.1.1","4273","","","","0"
"2015/2016","Regina (CMA), Saskatchewan","2016S0503705","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061134282","104.4.1.1","227","","","","0"
"2016/2017","Regina (CMA), Saskatchewan","2016S0503705","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061134282","104.4.1.1","218","","","","0"
"2017/2018","Regina (CMA), Saskatchewan","2016S0503705","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061134282","104.4.1.1","211","","","","0"
"2018/2019","Regina (CMA), Saskatchewan","2016S0503705","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061134282","104.4.1.1","214","","","","0"
"2019/2020","Regina (CMA), Saskatchewan","2016S0503705","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061134282","104.4.1.1","163","","","","0"
"2015/2016","Regina (CMA), Saskatchewan","2016S0503705","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061134615","104.5.1.1","152","","","","0"
"2016/2017","Regina (CMA), Saskatchewan","2016S0503705","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061134615","104.5.1.1","187","","","","0"
"2017/2018","Regina (CMA), Saskatchewan","2016S0503705","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061134615","104.5.1.1","158","","","","0"
"2018/2019","Regina (CMA), Saskatchewan","2016S0503705","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061134615","104.5.1.1","160","","","","0"
"2019/2020","Regina (CMA), Saskatchewan","2016S0503705","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061134615","104.5.1.1","136","","","","0"
"2015/2016","Regina (CMA), Saskatchewan","2016S0503705","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061134948","104.6.1.1","98","","","","0"
"2016/2017","Regina (CMA), Saskatchewan","2016S0503705","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061134948","104.6.1.1","114","","","","0"
"2017/2018","Regina (CMA), Saskatchewan","2016S0503705","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061134948","104.6.1.1","130","","","","0"
"2018/2019","Regina (CMA), Saskatchewan","2016S0503705","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061134948","104.6.1.1","133","","","","0"
"2019/2020","Regina (CMA), Saskatchewan","2016S0503705","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061134948","104.6.1.1","91","","","","0"
"2015/2016","Regina (CMA), Saskatchewan","2016S0503705","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061135281","104.7.1.1","-1286","","","","0"
"2016/2017","Regina (CMA), Saskatchewan","2016S0503705","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061135281","104.7.1.1","-1855","","","","0"
"2017/2018","Regina (CMA), Saskatchewan","2016S0503705","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061135281","104.7.1.1","-2725","","","","0"
"2018/2019","Regina (CMA), Saskatchewan","2016S0503705","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061135281","104.7.1.1","-3256","","","","0"
"2019/2020","Regina (CMA), Saskatchewan","2016S0503705","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061135281","104.7.1.1","-3920","","","","0"
"2015/2016","Regina (CMA), Saskatchewan","2016S0503705","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061135614","104.8.1.1","469","","","","0"
"2016/2017","Regina (CMA), Saskatchewan","2016S0503705","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061135614","104.8.1.1","1259","","","","0"
"2017/2018","Regina (CMA), Saskatchewan","2016S0503705","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061135614","104.8.1.1","949","","","","0"
"2018/2019","Regina (CMA), Saskatchewan","2016S0503705","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061135614","104.8.1.1","1025","","","","0"
"2019/2020","Regina (CMA), Saskatchewan","2016S0503705","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061135614","104.8.1.1","878","","","","0"
"2015/2016","Regina (CMA), Saskatchewan","2016S0503705","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061135947","104.9.1.1","745","","","","0"
"2016/2017","Regina (CMA), Saskatchewan","2016S0503705","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061135947","104.9.1.1","374","","","","0"
"2017/2018","Regina (CMA), Saskatchewan","2016S0503705","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061135947","104.9.1.1","258","","","","0"
"2018/2019","Regina (CMA), Saskatchewan","2016S0503705","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061135947","104.9.1.1","865","","","","0"
"2019/2020","Regina (CMA), Saskatchewan","2016S0503705","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061135947","104.9.1.1","49","","","","0"
"2015/2016","Regina (CMA), Saskatchewan","2016S0503705","Residual deviation","Both sexes","All ages","Persons","249","units","0","v1061136280","104.10.1.1","-147","","","","0"
"2015/2016","Saskatoon (CMA), Saskatchewan","2016S0503725","Births","Both sexes","All ages","Persons","249","units","0","v1061145622","108.1.1.1","4347","","","","0"
"2016/2017","Saskatoon (CMA), Saskatchewan","2016S0503725","Births","Both sexes","All ages","Persons","249","units","0","v1061145622","108.1.1.1","4228","","","","0"
"2017/2018","Saskatoon (CMA), Saskatchewan","2016S0503725","Births","Both sexes","All ages","Persons","249","units","0","v1061145622","108.1.1.1","4274","","","","0"
"2018/2019","Saskatoon (CMA), Saskatchewan","2016S0503725","Births","Both sexes","All ages","Persons","249","units","0","v1061145622","108.1.1.1","4141","","","","0"
"2019/2020","Saskatoon (CMA), Saskatchewan","2016S0503725","Births","Both sexes","All ages","Persons","249","units","0","v1061145622","108.1.1.1","4061","","","","0"
"2015/2016","Saskatoon (CMA), Saskatchewan","2016S0503725","Deaths","Both sexes","All ages","Persons","249","units","0","v1061145628","108.2.1.1","1931","","","","0"
"2016/2017","Saskatoon (CMA), Saskatchewan","2016S0503725","Deaths","Both sexes","All ages","Persons","249","units","0","v1061145628","108.2.1.1","2072","","","","0"
"2017/2018","Saskatoon (CMA), Saskatchewan","2016S0503725","Deaths","Both sexes","All ages","Persons","249","units","0","v1061145628","108.2.1.1","2073","","","","0"
"2018/2019","Saskatoon (CMA), Saskatchewan","2016S0503725","Deaths","Both sexes","All ages","Persons","249","units","0","v1061145628","108.2.1.1","2137","","","","0"
"2019/2020","Saskatoon (CMA), Saskatchewan","2016S0503725","Deaths","Both sexes","All ages","Persons","249","units","0","v1061145628","108.2.1.1","2130","","","","0"
"2015/2016","Saskatoon (CMA), Saskatchewan","2016S0503725","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061145961","108.3.1.1","5784","","","","0"
"2016/2017","Saskatoon (CMA), Saskatchewan","2016S0503725","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061145961","108.3.1.1","5938","","","","0"
"2017/2018","Saskatoon (CMA), Saskatchewan","2016S0503725","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061145961","108.3.1.1","6220","","","","0"
"2018/2019","Saskatoon (CMA), Saskatchewan","2016S0503725","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061145961","108.3.1.1","6029","","","","0"
"2019/2020","Saskatoon (CMA), Saskatchewan","2016S0503725","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061145961","108.3.1.1","6158","","","","0"
"2015/2016","Saskatoon (CMA), Saskatchewan","2016S0503725","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061146294","108.4.1.1","477","","","","0"
"2016/2017","Saskatoon (CMA), Saskatchewan","2016S0503725","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061146294","108.4.1.1","338","","","","0"
"2017/2018","Saskatoon (CMA), Saskatchewan","2016S0503725","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061146294","108.4.1.1","280","","","","0"
"2018/2019","Saskatoon (CMA), Saskatchewan","2016S0503725","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061146294","108.4.1.1","282","","","","0"
"2019/2020","Saskatoon (CMA), Saskatchewan","2016S0503725","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061146294","108.4.1.1","219","","","","0"
"2015/2016","Saskatoon (CMA), Saskatchewan","2016S0503725","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061146627","108.5.1.1","294","","","","0"
"2016/2017","Saskatoon (CMA), Saskatchewan","2016S0503725","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061146627","108.5.1.1","259","","","","0"
"2017/2018","Saskatoon (CMA), Saskatchewan","2016S0503725","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061146627","108.5.1.1","300","","","","0"
"2018/2019","Saskatoon (CMA), Saskatchewan","2016S0503725","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061146627","108.5.1.1","327","","","","0"
"2019/2020","Saskatoon (CMA), Saskatchewan","2016S0503725","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061146627","108.5.1.1","281","","","","0"
"2015/2016","Saskatoon (CMA), Saskatchewan","2016S0503725","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061146960","108.6.1.1","196","","","","0"
"2016/2017","Saskatoon (CMA), Saskatchewan","2016S0503725","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061146960","108.6.1.1","207","","","","0"
"2017/2018","Saskatoon (CMA), Saskatchewan","2016S0503725","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061146960","108.6.1.1","178","","","","0"
"2018/2019","Saskatoon (CMA), Saskatchewan","2016S0503725","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061146960","108.6.1.1","178","","","","0"
"2019/2020","Saskatoon (CMA), Saskatchewan","2016S0503725","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061146960","108.6.1.1","124","","","","0"
"2015/2016","Saskatoon (CMA), Saskatchewan","2016S0503725","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061147293","108.7.1.1","-1382","","","","0"
"2016/2017","Saskatoon (CMA), Saskatchewan","2016S0503725","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061147293","108.7.1.1","-1945","","","","0"
"2017/2018","Saskatoon (CMA), Saskatchewan","2016S0503725","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061147293","108.7.1.1","-2972","","","","0"
"2018/2019","Saskatoon (CMA), Saskatchewan","2016S0503725","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061147293","108.7.1.1","-3116","","","","0"
"2019/2020","Saskatoon (CMA), Saskatchewan","2016S0503725","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061147293","108.7.1.1","-3787","","","","0"
"2015/2016","Saskatoon (CMA), Saskatchewan","2016S0503725","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061147626","108.8.1.1","1848","","","","0"
"2016/2017","Saskatoon (CMA), Saskatchewan","2016S0503725","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061147626","108.8.1.1","2530","","","","0"
"2017/2018","Saskatoon (CMA), Saskatchewan","2016S0503725","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061147626","108.8.1.1","2308","","","","0"
"2018/2019","Saskatoon (CMA), Saskatchewan","2016S0503725","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061147626","108.8.1.1","2013","","","","0"
"2019/2020","Saskatoon (CMA), Saskatchewan","2016S0503725","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061147626","108.8.1.1","1813","","","","0"
"2015/2016","Saskatoon (CMA), Saskatchewan","2016S0503725","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061147959","108.9.1.1","359","","","","0"
"2016/2017","Saskatoon (CMA), Saskatchewan","2016S0503725","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061147959","108.9.1.1","-58","","","","0"
"2017/2018","Saskatoon (CMA), Saskatchewan","2016S0503725","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061147959","108.9.1.1","-153","","","","0"
"2018/2019","Saskatoon (CMA), Saskatchewan","2016S0503725","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061147959","108.9.1.1","484","","","","0"
"2019/2020","Saskatoon (CMA), Saskatchewan","2016S0503725","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061147959","108.9.1.1","132","","","","0"
"2015/2016","Saskatoon (CMA), Saskatchewan","2016S0503725","Residual deviation","Both sexes","All ages","Persons","249","units","0","v1061148292","108.10.1.1","-628","","","","0"
"2015/2016","Lethbridge (CMA), Alberta","2016S0503810","Births","Both sexes","All ages","Persons","249","units","0","v1061175652","118.1.1.1","1659","","","","0"
"2016/2017","Lethbridge (CMA), Alberta","2016S0503810","Births","Both sexes","All ages","Persons","249","units","0","v1061175652","118.1.1.1","1596","","","","0"
"2017/2018","Lethbridge (CMA), Alberta","2016S0503810","Births","Both sexes","All ages","Persons","249","units","0","v1061175652","118.1.1.1","1577","","","","0"
"2018/2019","Lethbridge (CMA), Alberta","2016S0503810","Births","Both sexes","All ages","Persons","249","units","0","v1061175652","118.1.1.1","1521","","","","0"
"2019/2020","Lethbridge (CMA), Alberta","2016S0503810","Births","Both sexes","All ages","Persons","249","units","0","v1061175652","118.1.1.1","1512","","","","0"
"2015/2016","Lethbridge (CMA), Alberta","2016S0503810","Deaths","Both sexes","All ages","Persons","249","units","0","v1061175658","118.2.1.1","902","","","","0"
"2016/2017","Lethbridge (CMA), Alberta","2016S0503810","Deaths","Both sexes","All ages","Persons","249","units","0","v1061175658","118.2.1.1","965","","","","0"
"2017/2018","Lethbridge (CMA), Alberta","2016S0503810","Deaths","Both sexes","All ages","Persons","249","units","0","v1061175658","118.2.1.1","912","","","","0"
"2018/2019","Lethbridge (CMA), Alberta","2016S0503810","Deaths","Both sexes","All ages","Persons","249","units","0","v1061175658","118.2.1.1","912","","","","0"
"2019/2020","Lethbridge (CMA), Alberta","2016S0503810","Deaths","Both sexes","All ages","Persons","249","units","0","v1061175658","118.2.1.1","939","","","","0"
"2015/2016","Lethbridge (CMA), Alberta","2016S0503810","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061175991","118.3.1.1","1019","","","","0"
"2016/2017","Lethbridge (CMA), Alberta","2016S0503810","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061175991","118.3.1.1","765","","","","0"
"2017/2018","Lethbridge (CMA), Alberta","2016S0503810","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061175991","118.3.1.1","572","","","","0"
"2018/2019","Lethbridge (CMA), Alberta","2016S0503810","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061175991","118.3.1.1","688","","","","0"
"2019/2020","Lethbridge (CMA), Alberta","2016S0503810","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061175991","118.3.1.1","574","","","","0"
"2015/2016","Lethbridge (CMA), Alberta","2016S0503810","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061176324","118.4.1.1","183","","","","0"
"2016/2017","Lethbridge (CMA), Alberta","2016S0503810","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061176324","118.4.1.1","144","","","","0"
"2017/2018","Lethbridge (CMA), Alberta","2016S0503810","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061176324","118.4.1.1","114","","","","0"
"2018/2019","Lethbridge (CMA), Alberta","2016S0503810","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061176324","118.4.1.1","116","","","","0"
"2019/2020","Lethbridge (CMA), Alberta","2016S0503810","Emigrants","Both sexes","All ages","Persons","249","units","0","v1061176324","118.4.1.1","88","","","","0"
"2015/2016","Lethbridge (CMA), Alberta","2016S0503810","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061176657","118.5.1.1","99","","","","0"
"2016/2017","Lethbridge (CMA), Alberta","2016S0503810","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061176657","118.5.1.1","146","","","","0"
"2017/2018","Lethbridge (CMA), Alberta","2016S0503810","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061176657","118.5.1.1","118","","","","0"
"2018/2019","Lethbridge (CMA), Alberta","2016S0503810","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061176657","118.5.1.1","155","","","","0"
"2019/2020","Lethbridge (CMA), Alberta","2016S0503810","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1061176657","118.5.1.1","133","","","","0"
"2015/2016","Lethbridge (CMA), Alberta","2016S0503810","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061176990","118.6.1.1","45","","","","0"
"2016/2017","Lethbridge (CMA), Alberta","2016S0503810","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061176990","118.6.1.1","41","","","","0"
"2017/2018","Lethbridge (CMA), Alberta","2016S0503810","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061176990","118.6.1.1","39","","","","0"
"2018/2019","Lethbridge (CMA), Alberta","2016S0503810","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061176990","118.6.1.1","41","","","","0"
"2019/2020","Lethbridge (CMA), Alberta","2016S0503810","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1061176990","118.6.1.1","27","","","","0"
"2015/2016","Lethbridge (CMA), Alberta","2016S0503810","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061177323","118.7.1.1","147","","","","0"
"2016/2017","Lethbridge (CMA), Alberta","2016S0503810","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061177323","118.7.1.1","-130","","","","0"
"2017/2018","Lethbridge (CMA), Alberta","2016S0503810","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061177323","118.7.1.1","272","","","","0"
"2018/2019","Lethbridge (CMA), Alberta","2016S0503810","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061177323","118.7.1.1","160","","","","0"
"2019/2020","Lethbridge (CMA), Alberta","2016S0503810","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061177323","118.7.1.1","334","","","","0"
"2015/2016","Lethbridge (CMA), Alberta","2016S0503810","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061177656","118.8.1.1","900","","","","0"
"2016/2017","Lethbridge (CMA), Alberta","2016S0503810","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061177656","118.8.1.1","349","","","","0"
"2017/2018","Lethbridge (CMA), Alberta","2016S0503810","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061177656","118.8.1.1","650","","","","0"
"2018/2019","Lethbridge (CMA), Alberta","2016S0503810","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061177656","118.8.1.1","360","","","","0"
"2019/2020","Lethbridge (CMA), Alberta","2016S0503810","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1061177656","118.8.1.1","320","","","","0"
"2015/2016","Lethbridge (CMA), Alberta","2016S0503810","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061177989","118.9.1.1","-47","","","","0"
"2016/2017","Lethbridge (CMA), Alberta","2016S0503810","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061177989","118.9.1.1","-160","","","","0"
"2017/2018","Lethbridge (CMA), Alberta","2016S0503810","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061177989","118.9.1.1","160","","","","0"
"2018/2019","Lethbridge (CMA), Alberta","2016S0503810","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1061177989","118.9.1.1","415","","","","0"
